,price,property_type,subproperty_type,province,locality,zip_code,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,state_building,primary_energy_consumption_sqm,fl_double_glazing
93,278345,1.0,APARTMENT,West Flanders,Brugge,8000,2021.0,88.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,,0.0,1
94,1695000,0.0,MANSION,West Flanders,Brugge,8000,1850.0,600.0,544.0,2.0,5.0,INSTALLED,0,0,1,65.0,0,0.0,0,2.0,414.0,0
95,220000,1.0,APARTMENT,West Flanders,Brugge,8000,1975.0,75.0,,3.0,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,4.0,595.0,0
96,240000,1.0,APARTMENT,West Flanders,Brugge,8000,,,,2.0,1.0,SEMI_EQUIPPED,0,0,1,,0,0.0,0,4.0,87.0,1
97,795000,0.0,MIXED_USE_BUILDING,West Flanders,Brugge,8000,,159.0,115.0,2.0,4.0,MISSING,0,0,1,,0,0.0,0,4.0,295.0,0
98,369000,1.0,APARTMENT,West Flanders,Brugge,8000,,,,,3.0,MISSING,0,0,0,0.0,0,0.0,0,5.0,163.0,0
99,310000,1.0,APARTMENT,West Flanders,Brugge,8000,2024.0,72.0,,3.0,1.0,INSTALLED,0,0,1,8.0,0,0.0,0,5.0,,1
100,900000,0.0,HOUSE,West Flanders,Brugge,8000,1988.0,,306.0,4.0,0.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,393.0,0
101,419000,1.0,PENTHOUSE,West Flanders,Brugge,8000,2023.0,94.0,,,2.0,MISSING,0,0,1,10.0,0,0.0,0,4.0,,0
102,825000,0.0,MANSION,West Flanders,Brugge,8000,,,70.0,2.0,2.0,HYPER_EQUIPPED,0,0,1,,0,0.0,0,5.0,171.0,1
103,278345,1.0,APARTMENT,West Flanders,Brugge,8000,2021.0,88.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,,0.0,1
104,895000,0.0,MANSION,West Flanders,Brugge,8000,1900.0,515.0,306.0,2.0,4.0,HYPER_EQUIPPED,0,0,1,,1,175.0,0,5.0,276.0,0
105,985000,1.0,APARTMENT,West Flanders,Brugge,8000,,,,,2.0,MISSING,0,0,1,8.0,1,5000.0,0,6.0,,0
106,335000,0.0,HOUSE,West Flanders,Brugge,8000,1969.0,198.0,347.0,,3.0,MISSING,0,0,1,,0,0.0,0,2.0,866.0,0
107,419500,1.0,GROUND_FLOOR,West Flanders,Brugge,8000,2022.0,98.0,,2.0,2.0,HYPER_EQUIPPED,0,0,1,16.0,1,57.0,0,5.0,61.0,1
108,419850,1.0,APARTMENT,West Flanders,Brugge,8000,,94.0,,,2.0,MISSING,0,0,1,15.0,0,0.0,0,,99.0,0
109,320000,1.0,GROUND_FLOOR,West Flanders,Brugge,8000,2024.0,84.0,,3.0,2.0,INSTALLED,0,0,1,23.0,0,0.0,0,5.0,,1
110,147000,1.0,KOT,West Flanders,Brugge,8000,,37.0,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,,205.0,0
111,467500,1.0,GROUND_FLOOR,West Flanders,Brugge,8000,2023.0,100.0,,,2.0,MISSING,0,0,1,20.0,1,67.0,0,4.0,,0
112,385000,1.0,APARTMENT,West Flanders,Brugge,8000,,81.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,0.0,0
113,249000,0.0,HOUSE,West Flanders,Brugge,8000,,213.0,116.0,2.0,3.0,MISSING,0,0,1,,0,0.0,0,,398.0,0
114,895000,1.0,APARTMENT,West Flanders,Brugge,8000,2023.0,,,2.0,2.0,INSTALLED,0,1,1,8.0,0,0.0,0,5.0,,1
115,995000,1.0,LOFT,West Flanders,Brugge,8000,,,,,3.0,MISSING,0,0,1,16.0,1,,0,6.0,,0
116,390000,0.0,HOUSE,West Flanders,Brugge,8000,,326.0,167.0,4.0,4.0,MISSING,0,0,0,0.0,0,0.0,0,,453.0,1
117,135000,0.0,HOUSE,West Flanders,Brugge,8000,1957.0,103.0,146.0,2.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,2.0,321.0,0
118,519000,1.0,APARTMENT,West Flanders,Brugge,8000,2022.0,100.0,,,2.0,MISSING,0,0,1,13.0,0,0.0,0,,99.0,0
119,575000,1.0,APARTMENT,West Flanders,Brugge,8000,,,,,6.0,MISSING,0,0,0,0.0,1,,0,,218.0,0
120,360000,1.0,GROUND_FLOOR,West Flanders,Brugge,8000,2024.0,97.0,,3.0,2.0,INSTALLED,0,0,1,20.0,0,0.0,0,5.0,,1
121,310000,0.0,HOUSE,West Flanders,Brugge,8000,,,236.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,,288.0,0
122,725000,1.0,APARTMENT,West Flanders,Brugge,8000,,165.0,,,3.0,MISSING,0,0,0,0.0,0,0.0,0,,85.0,0
123,243500,1.0,GROUND_FLOOR,West Flanders,Brugge,8000,1967.0,90.0,,2.0,2.0,INSTALLED,0,0,1,15.0,1,413.0,0,4.0,399.0,0
124,149000,0.0,HOUSE,West Flanders,Brugge,8000,,,0.0,4.0,3.0,MISSING,0,0,1,,0,0.0,0,,508.0,1
125,1095000,0.0,MANOR_HOUSE,West Flanders,Brugge,8000,1900.0,375.0,268.0,,4.0,INSTALLED,0,0,0,0.0,0,0.0,0,,167.0,1
126,135000,0.0,HOUSE,West Flanders,Brugge,8000,1952.0,116.0,126.0,2.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,2.0,365.0,0
127,239500,1.0,APARTMENT,West Flanders,Brugge,8000,1966.0,86.0,,,0.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,245.0,0
128,229000,0.0,HOUSE,West Flanders,Brugge,8000,1950.0,95.0,48.0,4.0,2.0,MISSING,0,0,0,0.0,0,0.0,0,2.0,490.0,0
129,365000,1.0,APARTMENT,West Flanders,Brugge,8000,2024.0,96.0,,3.0,2.0,INSTALLED,0,0,1,15.0,0,0.0,0,5.0,,1
130,735000,0.0,APARTMENT_BLOCK,West Flanders,Brugge,8000,,336.0,167.0,,6.0,MISSING,0,0,0,0.0,0,0.0,0,,455.0,0
131,229000,0.0,HOUSE,West Flanders,Brugge,8000,1850.0,112.0,54.0,2.0,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,2.0,610.0,0
132,239000,0.0,TOWN_HOUSE,West Flanders,Brugge,8000,,133.0,130.0,2.0,2.0,MISSING,0,0,1,,1,84.0,0,2.0,566.0,1
133,369000,1.0,APARTMENT,West Flanders,Brugge,8000,,95.0,,2.0,3.0,HYPER_EQUIPPED,0,0,1,2.0,0,0.0,0,5.0,163.0,0
134,299000,1.0,APARTMENT,West Flanders,Brugge,8000,1986.0,120.0,,,3.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,121.0,1
