,link,id,locality,country,construction_year,Number_of_frontages,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace_sqm,terrace,garden_sqm,garden,floodZoneType,surface_land,swimming_pool,state_building,epc,primaryEnergyConsumptionPerSqm,heating_Type,Double_Glazing,cadastral_income,latitude,longitude,public_sales,notary_sales
736,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11196803,11196803,Gent,Belgium,2026.0,,East Flanders,9000,489000,APARTMENT,APARTMENT,3.0,,INSTALLED,0,0,21.0,1,0,0,0,,0,GOOD,A,33.0,,1,0,51.0645911,3.7132568,,
737,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11287263,11287263,Brussels,Belgium,,4.0,Brussels,1000,370000,APARTMENT,APARTMENT,2.0,96.0,HYPER_EQUIPPED,0,0,7.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
738,https://www.immoweb.be/en/classified/loft/for-sale/li%C3%A8ge/4000/11109284,11109284,Liège,Belgium,2022.0,,Liège,4000,385000,APARTMENT,LOFT,2.0,103.0,,0,0,92.0,1,0,0,1,,0,AS_NEW,B,105.0,,0,0,50.641615,5.5899945,,
739,https://www.immoweb.be/en/classified/ground-floor/for-sale/halle/1500/11238759,11238759,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,290000,APARTMENT,GROUND_FLOOR,2.0,100.0,,0,0,22.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
740,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216971,11216971,Namur,Belgium,,,Namur,5000,482027,APARTMENT,APARTMENT,3.0,129.0,,0,0,48.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
741,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/11287256,11287256,Brussels,Belgium,,4.0,Brussels,1000,375000,APARTMENT,GROUND_FLOOR,2.0,103.0,HYPER_EQUIPPED,0,0,13.0,1,0,0,1,,0,,,,,0,0,50.8665959,4.3449,,
742,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11196802,11196802,Gent,Belgium,2026.0,,East Flanders,9000,569000,APARTMENT,APARTMENT,2.0,,INSTALLED,0,0,47.0,1,0,0,0,,0,GOOD,A,40.0,,1,0,51.0645911,3.7132568,,
743,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/11225309,11225309,Bastogne,Belgium,2024.0,4.0,Luxembourg,6600,299900,APARTMENT,APARTMENT,2.0,95.0,,0,0,8.0,1,0,0,1,,0,,,,GAS,1,0,,,,
744,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11238777,11238777,Halle-Vilvoorde,Belgium,,2.0,Flemish Brabant,1500,290000,APARTMENT,APARTMENT,2.0,99.0,,0,0,10.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
745,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11216979,11216979,Namur,Belgium,,,Namur,5000,504463,APARTMENT,APARTMENT,3.0,129.0,,0,0,52.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
